figure_neuronIdx,figure_epoch,figure_layer,figure_latency
108,2_Offset,l5,71
109,2_Offset,l5,NaN
112,2_Offset,l5,190
113,2_Offset,l5,89
115,2_Offset,l5,168
116,2_Offset,l5,257
117,2_Offset,l5,47
119,2_Offset,l5,148
21,1_Onset,l6,147
22,1_Onset,l6,54
23,1_Onset,l6,142
35,1_Onset,l6,140
94,1_Onset,l6,118
95,1_Onset,l6,133
101,1_Onset,l6,137
114,1_Onset,l6,139
118,1_Onset,l6,112
21,2_Offset,l6,681
22,2_Offset,l6,-17
23,2_Offset,l6,520
35,2_Offset,l6,304
94,2_Offset,l6,1008
95,2_Offset,l6,241
101,2_Offset,l6,377
114,2_Offset,l6,106
118,2_Offset,l6,97
