figure_neuronIdx,figure_flag,figure_index,figure_layer,figure_measure
110,1,-0.24113041384672,l3,ls
111,0,0.0497277511010542,l3,ls
14,0,0.0107968423370019,l5,vs
15,0,0.0310294037274791,l5,vs
16,0,-0.0188912114796777,l5,vs
17,0,-0.0780671007417962,l5,vs
18,0,0.00503491506959672,l5,vs
19,0,-0.0296771240968987,l5,vs
20,0,-0.0854457680323396,l5,vs
30,0,-0.0463437361030885,l5,vs
31,0,-0.0193871831194115,l5,vs
32,1,-0.0928117186369706,l5,vs
33,0,0.0678122879607387,l5,vs
34,0,0.0123711051091287,l5,vs
42,0,0.0012226363332746,l5,vs
43,0,0.0232032388180825,l5,vs
44,0,-0.0136855500115031,l5,vs
51,0,-0.0433671074801025,l5,vs
52,0,0.103504017059234,l5,vs
53,1,-0.119814708797281,l5,vs
63,0,-0.0454672793205648,l5,vs
64,0,-0.0387014113832407,l5,vs
65,0,-0.0525979464287232,l5,vs
66,0,-0.06799751171935,l5,vs
67,0,-0.0522010339761139,l5,vs
76,0,-0.039837089463987,l5,vs
77,0,0.0175121491197186,l5,vs
78,1,-0.146034100646018,l5,vs
79,0,-0.0372356977918303,l5,vs
86,0,-0.0160655212740402,l5,vs
87,0,0.018894124325201,l5,vs
108,0,0.13760169364226,l5,vs
109,0,-0.0193274550423572,l5,vs
112,0,0.0351759323585015,l5,vs
113,0,0.0859175931690372,l5,vs
115,0,0.0201915866446953,l5,vs
116,0,0.00582908688505887,l5,vs
117,0,-0.0361448270806642,l5,vs
119,0,0.0211984467063376,l5,vs
14,1,0.116326899366017,l5,ls
15,1,0.170637166138808,l5,ls
16,1,0.0854407933856043,l5,ls
17,1,0.141545447989101,l5,ls
18,0,0.0095739486847482,l5,ls
19,1,0.312198336277588,l5,ls
20,1,0.125522275304367,l5,ls
30,0,0.0473006129937969,l5,ls
31,1,0.0497174016036024,l5,ls
32,1,0.226247300417837,l5,ls
33,1,0.422038986409191,l5,ls
34,1,0.232363762762373,l5,ls
42,0,0.0106136888579283,l5,ls
43,1,0.0826002178514421,l5,ls
44,1,-0.0879274699417391,l5,ls
51,1,0.0902309218452193,l5,ls
52,0,0.119804417354441,l5,ls
53,0,0.0557218785972308,l5,ls
63,0,0.0961553639896276,l5,ls
64,0,-0.0872925141063162,l5,ls
65,1,0.135619261902546,l5,ls
66,0,0.116109698285182,l5,ls
67,0,0.0483601806244838,l5,ls
76,1,0.137931890085206,l5,ls
77,1,0.221629660950029,l5,ls
78,1,0.115675977427915,l5,ls
79,0,0.0094458705679641,l5,ls
86,0,0.0246406147964959,l5,ls
87,0,0.0212332905374569,l5,ls
108,1,0.133747405549926,l5,ls
109,1,-0.2370107313904,l5,ls
112,1,-0.475571306908715,l5,ls
113,1,0.868048356830141,l5,ls
115,0,0.10905832761932,l5,ls
116,0,-0.098025788191672,l5,ls
117,0,-0.0266022730615784,l5,ls
119,1,0.591201554047836,l5,ls
21,0,-0.0174240289543495,l6,vs
22,0,-0.0592659490663934,l6,vs
23,0,-0.1262588166022,l6,vs
