Latency,Area
48,09_SEF
49,09_SEF
52,09_SEF
53,09_SEF
54,09_SEF
55,09_SEF
55,09_SEF
56,09_SEF
58,09_SEF
58,09_SEF
60,09_SEF
62,09_SEF
64,09_SEF
65,09_SEF
66,09_SEF
67,09_SEF
68,09_SEF
68,09_SEF
69,09_SEF
69,09_SEF
70,09_SEF
70,09_SEF
71,09_SEF
72,09_SEF
74,09_SEF
75,09_SEF
76,09_SEF
76,09_SEF
77,09_SEF
78,09_SEF
80,09_SEF
81,09_SEF
83,09_SEF
87,09_SEF
88,09_SEF
89,09_SEF
90,09_SEF
90,09_SEF
91,09_SEF
92,09_SEF
94,09_SEF
94,09_SEF
97,09_SEF
99,09_SEF
102,09_SEF
102,09_SEF
103,09_SEF
103,09_SEF
106,09_SEF
107,09_SEF
110,09_SEF
112,09_SEF
114,09_SEF
127,09_SEF
127,09_SEF
136,09_SEF
153,09_SEF
160,09_SEF
174,09_SEF
37,10_ACC
38,10_ACC
54,10_ACC
55,10_ACC
68,10_ACC
68,10_ACC
71,10_ACC
75,10_ACC
78,10_ACC
85,10_ACC
86,10_ACC
94,10_ACC
96,10_ACC
99,10_ACC
100,10_ACC
102,10_ACC
105,10_ACC
112,10_ACC
112,10_ACC
114,10_ACC
134,10_ACC
183,10_ACC
187,10_ACC
24,08_FEF
29,08_FEF
34,08_FEF
35,08_FEF
36,08_FEF
51,08_FEF
51,08_FEF
52,08_FEF
52,08_FEF
54,08_FEF
54,08_FEF
55,08_FEF
56,08_FEF
56,08_FEF
57,08_FEF
58,08_FEF
58,08_FEF
58,08_FEF
58,08_FEF
60,08_FEF
61,08_FEF
61,08_FEF
61,08_FEF
62,08_FEF
63,08_FEF
63,08_FEF
63,08_FEF
64,08_FEF
66,08_FEF
66,08_FEF
67,08_FEF
67,08_FEF
68,08_FEF
68,08_FEF
68,08_FEF
69,08_FEF
69,08_FEF
70,08_FEF
71,08_FEF
72,08_FEF
72,08_FEF
72,08_FEF
72,08_FEF
76,08_FEF
76,08_FEF
79,08_FEF
79,08_FEF
80,08_FEF
83,08_FEF
85,08_FEF
87,08_FEF
87,08_FEF
88,08_FEF
88,08_FEF
89,08_FEF
91,08_FEF
92,08_FEF
95,08_FEF
96,08_FEF
102,08_FEF
118,08_FEF
129,08_FEF
49,07_MT_MST
51,07_MT_MST
53,07_MT_MST
55,07_MT_MST
55,07_MT_MST
55,07_MT_MST
56,07_MT_MST
56,07_MT_MST
57,07_MT_MST
58,07_MT_MST
58,07_MT_MST
59,07_MT_MST
59,07_MT_MST
59,07_MT_MST
60,07_MT_MST
60,07_MT_MST
61,07_MT_MST
61,07_MT_MST
61,07_MT_MST
61,07_MT_MST
61,07_MT_MST
61,07_MT_MST
62,07_MT_MST
62,07_MT_MST
62,07_MT_MST
62,07_MT_MST
62,07_MT_MST
62,07_MT_MST
62,07_MT_MST
62,07_MT_MST
63,07_MT_MST
63,07_MT_MST
63,07_MT_MST
64,07_MT_MST
64,07_MT_MST
65,07_MT_MST
65,07_MT_MST
65,07_MT_MST
65,07_MT_MST
66,07_MT_MST
66,07_MT_MST
66,07_MT_MST
67,07_MT_MST
67,07_MT_MST
67,07_MT_MST
67,07_MT_MST
67,07_MT_MST
67,07_MT_MST
68,07_MT_MST
68,07_MT_MST
68,07_MT_MST
68,07_MT_MST
69,07_MT_MST
69,07_MT_MST
69,07_MT_MST
70,07_MT_MST
70,07_MT_MST
70,07_MT_MST
70,07_MT_MST
71,07_MT_MST
71,07_MT_MST
71,07_MT_MST
71,07_MT_MST
72,07_MT_MST
72,07_MT_MST
73,07_MT_MST
73,07_MT_MST
73,07_MT_MST
73,07_MT_MST
73,07_MT_MST
73,07_MT_MST
73,07_MT_MST
73,07_MT_MST
73,07_MT_MST
73,07_MT_MST
73,07_MT_MST
74,07_MT_MST
74,07_MT_MST
74,07_MT_MST
74,07_MT_MST
75,07_MT_MST
75,07_MT_MST
75,07_MT_MST
75,07_MT_MST
75,07_MT_MST
75,07_MT_MST
75,07_MT_MST
76,07_MT_MST
76,07_MT_MST
76,07_MT_MST
76,07_MT_MST
77,07_MT_MST
77,07_MT_MST
77,07_MT_MST
77,07_MT_MST
78,07_MT_MST
78,07_MT_MST
78,07_MT_MST
78,07_MT_MST
79,07_MT_MST
79,07_MT_MST
81,07_MT_MST
81,07_MT_MST
81,07_MT_MST
82,07_MT_MST
82,07_MT_MST
82,07_MT_MST
82,07_MT_MST
83,07_MT_MST
83,07_MT_MST
83,07_MT_MST
83,07_MT_MST
84,07_MT_MST
84,07_MT_MST
84,07_MT_MST
85,07_MT_MST
85,07_MT_MST
85,07_MT_MST
86,07_MT_MST
87,07_MT_MST
87,07_MT_MST
87,07_MT_MST
87,07_MT_MST
88,07_MT_MST
90,07_MT_MST
90,07_MT_MST
90,07_MT_MST
90,07_MT_MST
91,07_MT_MST
95,07_MT_MST
95,07_MT_MST
95,07_MT_MST
96,07_MT_MST
97,07_MT_MST
97,07_MT_MST
98,07_MT_MST
100,07_MT_MST
109,07_MT_MST
